"ApproxGeneration","IndividualID","Beta","AvgFluxOutput","FluxOutputDistribution"
0,1,64.97878300650734,0.12311021808994951,"{0.11265921317116356, 0.12395936057522454, 0.13271208052346048}"
0,2,1.0306539727511699,0.12253809289041113,"{0.1122226537678124, 0.12339001533802016, 0.13200160956540083}"
0,3,1.0876215073712776,0.12255657082807503,"{0.11223658768969555, 0.12340839586697831, 0.13202472892755127}"
0,4,572.1943668198259,0.12316362420989357,"{0.11270038364899765, 0.12401267134605863, 0.13277781763462446}"
0,5,1.0816402708208848,0.12255470344032249,"{0.11223517917870793, 0.12340653813265563, 0.1320223930096039}"
0,6,1399.934340750282,0.12295631258249284,"{0.11215284395510104, 0.12393518571755732, 0.13278090807482018}"
0,7,1.069231648501517,0.12255077698734873,"{0.11223221728521754, 0.12340263255014657, 0.13201748112668207}"
0,8,1035.713231360244,0.12314324095769513,"{0.11263198129467242, 0.12401176068221981, 0.13278598089619317}"
0,9,1295.2025495847645,0.12303831803521606,"{0.11235881158772056, 0.12397177791185987, 0.13278436460606782}"
0,10,1399.9543438282408,0.12295627126350346,"{0.11215280141626682, 0.12393512314558836, 0.13278088922865522}"
0,11,1.0490709050992453,0.12254424068862602,"{0.11222728845421928, 0.12339613057023131, 0.13200930304142744}"
0,12,1.0490841532335036,0.12254424506514834,"{0.11222729174713186, 0.12339613473179384, 0.13200930871651934}"
0,13,1399.9359106316454,0.12295630105794386,"{0.11215288370519273, 0.12393510170019764, 0.13278091776844123}"
0,14,696.8183604970476,0.12316564984445591,"{0.11270071582903525, 0.12401519697404105, 0.13278103673029149}"
0,15,1399.946673955021,0.12295631677408608,"{0.11215284837408877, 0.12393518010693752, 0.13278092184123197}"
0,16,62.947766440247115,0.12310895650356964,"{0.1126582417144744, 0.12395810395666171, 0.13271052383957285}"
0,17,1399.9191749707052,0.12295631239226243,"{0.11215289920386876, 0.12393515160250314, 0.1327808863704154}"
0,18,1.0801569366763235,0.12255423786396724,"{0.11223482806263478, 0.12340607497996, 0.13202181054930695}"
0,19,115.78736965536022,0.12313006459286488,"{0.11267450379211101, 0.12397913138402059, 0.13273655860246308}"
0,20,49.179971743974704,0.12309844285842855,"{0.11265014782448882, 0.12394763455591588, 0.13269754619488097}"
0,21,990.6020812257126,0.123151076472455,"{0.11265357011685069, 0.12401402290644331, 0.13278563639407104}"
0,22,1.0047021362532473,0.12252912723352127,"{0.112215897462972, 0.12338109711878464, 0.13199038711880715}"
0,23,1.0069201275035164,0.12252990801115811,"{0.11221648565480195, 0.12338187388588856, 0.1319913644927838}"
0,24,1.0767008160635103,0.12255314920933093,"{0.11223400684751751, 0.12340499220666652, 0.13202044857380876}"
0,25,1.0980670429136934,0.12255979296737492,"{0.11223901906960485, 0.12341160095101117, 0.13202875888150875}"
0,26,700.5747503085671,0.12316567762444937,"{0.11270065383454839, 0.12401525889166268, 0.13278112014713703}"
0,27,1.0007023246650724,0.12252771260095043,"{0.11221483179042888, 0.12337969040845594, 0.13198861560396646}"
0,28,1052.9842947937896,0.12313962459518302,"{0.1126221355797723, 0.12401065185039692, 0.13278608635537983}"
0,29,66.82266286572272,0.12311131360110585,"{0.11266005668986605, 0.12396045147709618, 0.13271343263635532}"
0,30,1074.4663700207911,0.12313454686177153,"{0.11260847485729032, 0.12400899365966359, 0.1327861720683607}"
0,31,1399.9900533204525,0.12295624154503229,"{0.1121527179587351, 0.12393510894041469, 0.13278089773594706}"
0,32,1399.9445136473705,0.12295629647771496,"{0.1121528481237885, 0.12393513190073083, 0.13278090940862555}"
0,33,1079.7291345484186,0.12313323369463694,"{0.11260492563941778, 0.12400858632740652, 0.13278618911708656}"
0,34,652.9389676853715,0.12316516085532332,"{0.1127010491180015, 0.12401442168827133, 0.1327800117596972}"
0,35,1399.9040216454525,0.12295634746598973,"{0.11215291289001424, 0.12393521387011114, 0.13278091563784383}"
0,36,798.3830668955521,0.12316520266912602,"{0.11269616154807037, 0.12401639528312748, 0.13278305117618022}"
0,37,1399.9974106797845,0.12295623212668562,"{0.11215270342157833, 0.12393510733126191, 0.13278088562721663}"
0,38,1271.283184916265,0.12305337683057216,"{0.11239708924023842, 0.123978158014475, 0.13278488323700302}"
0,39,1399.9521256077624,0.12295630019637634,"{0.1121528286116105, 0.12393515617780032, 0.1327809157997182}"
0,40,1399.9999199984857,0.12295624436100505,"{0.11215269684054914, 0.12393513155860933, 0.13278090468385667}"
0,41,1399.9015225609885,0.1229563137413349,"{0.11215289684461195, 0.12393513577552663, 0.13278090860386615}"
0,42,826.1786856206826,0.12316449937960477,"{0.11269343997409692, 0.12401653482253937, 0.13278352334217802}"
